Player_ID,Player_Name,Gender,Age,Country,Team,Position,Sport_Type,Match_ID,Tournament,Match_Date,Opponent_Team,Venue,City,Score,Assists,Goals,Wickets,Minutes_Played,Rating,Match_Fee,Bonus,Sponsorship_Amount,Ticket_Sales,Fan_ID,Ticket_Type,Payment_Mode,Feedback_Score,Coach_Name,Win_Status,unfied_Record,Total_Earning,Performence_Score,Merch_Sales,Revenue,Age_group,Performance_level,gender_numeric,Win_status_numeric
p3541,mike,male,22,germany,team c,bowler,basketball,m10547,league,11-01-2021,team d,ground 3,new york,21,4,0,0,23,9.09,4371.26,677.09,9722.13,6295.3,f61856,nan,upi,3,lee,draw,p3541-f61856,14770.48,29,0,6295.3,adult,high,1,3
p7544,john,male,44,germany,team d,defender,football,m77008,world cup,01-02-2021,team c,stadium 1,berlin,46,1,0,2,25,9.14,1534.13,163.05,3262.83,7510.98,f49879,regular,upi,4,lee,draw,p7544-f49879,4960.01,56,0,7510.98,senior,high,1,3
p6761,carlos,female,39,usa,team d,forward,football,m35394,league,01-02-2021,team d,stadium 1,berlin,105,7,3,0,17,2.42,967.79,1670.74,2359.3,6762.65,f74615,regular,online,5,brown,draw,p6761-f74615,4997.83,128,0,6762.65,senior,low,2,3
p3007,amit,male,40,usa,team e,batsman,basketball,m54131,friendly,01-02-2021,team c,court 4,berlin,71,0,4,3,81,9.95,4116.32,1963.59,3272.36,4651.89,f19426,vip,credit card,5,rahul,win,p3007-f19426,9352.27,95,0,4651.89,senior,high,1,1
p3676,priya,female,27,brazil,team a,forward,basketball,m94786,league,02-02-2021,team b,ground 3,berlin,113,7,3,2,60,4.3,4331.59,1927.84,4124.47,9708.28,f37940,vvip,credit card,1,brown,win,p3676-f37940,10383.9,144,0,9708.28,adult,medium,2,1
p7684,liu,male,17,south africa,team b,bowler,cricket,m26230,world cup,03-02-2021,team d,arena 2,new york,32,4,1,3,61,5.46,2860.29,276.11,1290.64,749.32,f92732,vvip,upi,4,anderson,lose,p7684-f92732,4427.04,55,0,749.32,junior,medium,1,2
p9595,mike,female,26,usa,team a,bowler,football,m92159,friendly,04-02-2021,team d,court 4,london,50,0,2,3,24,1.01,3031.45,1327.77,9284.49,9565.99,f53807,vvip,cash,5,anderson,win,p9595-f53807,13643.71,68,0,9565.99,adult,low,2,1
p1002,maria,male,18,brazil,team b,defender,cricket,m21168,world cup,05-02-2021,team c,stadium 1,new york,132,3,0,0,38,2.37,3409.07,831.13,5707.81,5586.93,f97755,regular,online,2,patel,draw,p1002-f97755,9948.01,138,0,5586.93,junior,low,1,3
p1502,john,male,33,yustralia,team d,bowler,football,m25986,world cup,06-02-2021,team c,ground 3,london,106,3,1,1,34,8.11,4061.35,1361.14,3710.94,928.86,f92534,regular,credit card,2,patel,draw,p1502-f92534,9133.43,119,0,928.86,senior,high,1,3
p1483,liu,male,15,brazil,team d,defender,tennis,m55370,world cup,08-02-2021,team c,arena 2,london,134,5,2,4,14,9.05,1712.99,1802.4,6809.13,9358.89,f76832,regular,credit card,3,patel,draw,p1483-f76832,10324.52,166,0,9358.89,junior,high,1,3
p5496,liu,male,21,south africa,team b,forward,football,m44991,world cup,08-02-2021,team d,court 4,delhi,27,4,0,2,92,6.08,2982.04,1775.89,4728.52,4621.26,f21835,vvip,cash,2,brown,draw,p5496-f21835,9486.45,43,0,4621.26,adult,medium,1,3
p8573,priya,female,23,south africa,team d,defender,cricket,m29991,world cup,09-02-2021,team a,court 4,berlin,122,1,3,4,34,9.87,1658.51,974.6,2322.27,9131.31,f73119,vvip,cash,4,smith,win,p8573-f73119,4955.38,149,0,9131.31,adult,high,2,1
p5315,mike,male,42,australia,team e,forward,basketball,m95081,league,10-02-2021,team d,court 4,new york,43,0,3,4,113,6.17,693.87,1024.58,7626.35,685.95,f32740,vvip,online,1,smith,lose,p5315-f32740,9344.8,68,0,685.95,senior,medium,1,2
p3901,mike,male,43,south africa,team c,forward,football,m74719,world cup,11-02-2021,team d,court 4,delhi,118,6,3,3,36,2.8,1082.44,1469.94,1252.83,7420.04,f38838,regular,cash,2,brown,win,p3901-f38838,3805.21,151,0,7420.04,senior,low,1,1
p6727,priya,male,22,india,team c,defender,cricket,m98152,championship,11-02-2021,team d,court 4,sydney,127,5,4,0,115,9.98,827.89,835.08,3139.68,1226.21,f52170,vvip,credit card,1,anderson,win,p6727-f52170,4802.65,149,0,1226.21,adult,high,1,1
p9633,priya,female,17,usa,team a,forward,tennis,m40587,league,11-02-2021,team c,stadium 1,london,15,6,3,4,100,6.98,3845.19,419.02,4777.02,4789.24,f65901,vvip,cash,5,rahul,lose,p9633-f65901,9041.23,52,0,4789.24,junior,medium,2,2
p2854,priya,female,34,india,team c,forward,football,m91949,championship,12-02-2021,team b,arena 2,new york,124,0,2,0,7,9.43,4403.83,1628.56,9071.43,2537.78,f78209,nan,upi,4,rahul,win,p2854-f78209,15103.82,130,0,2537.78,senior,high,2,1
p5840,david,male,40,india,team a,bowler,cricket,m46974,friendly,02-03-2021,team b,stadium 1,delhi,96,5,1,0,2,2.23,896.36,319.19,8258.19,3113.49,f10841,regular,credit card,5,lee,lose,p5840-f10841,9473.74,109,0,3113.49,senior,low,1,2
p9061,maria,female,18,usa,team d,defender,football,m55635,world cup,02-03-2021,team e,arena 2,delhi,79,1,1,0,27,9.75,3656.01,1085.48,5348.98,7821.78,f17493,vip,credit card,2,brown,lose,p9061-f17493,10090.47,84,0,7821.78,junior,high,2,2
p3170,liu,male,26,brazil,team c,batsman,basketball,m29467,championship,02-03-2021,team b,arena 2,london,90,4,4,1,46,9.13,3106.59,936.28,5555.22,9609.71,f93048,vip,online,1,brown,draw,p3170-f93048,9598.09,114,0,9609.71,adult,high,1,3
p7824,mike,male,33,india,team a,defender,tennis,m12866,championship,02-03-2021,team d,arena 2,sydney,109,8,2,0,108,2.34,2782.49,400.58,4875.57,2204.18,f57948,vip,cash,3,anderson,win,p7824-f57948,8058.64,131,0,2204.18,senior,low,1,1
p9047,liu,male,34,brazil,team d,bowler,cricket,m31957,championship,05-03-2021,team b,stadium 1,london,41,2,4,3,55,3.33,3945.94,404.22,2615.47,4546.35,f86238,regular,credit card,4,brown,lose,p9047-f86238,6965.63,69,0,4546.35,senior,low,1,2
p7305,liu,female,32,uk,team e,batsman,cricket,m80487,league,05-03-2021,team d,arena 2,london,33,4,1,3,10,7.19,3450.98,1168.95,6025.96,4981.2,f47984,vip,cash,3,lee,draw,p7305-f47984,10645.89,56,0,4981.2,senior,high,2,3
p1420,amit,male,29,australia,team c,goalkeeper,tennis,m24151,championship,05-03-2021,team a,court 4,berlin,105,6,4,3,118,1.99,4961.67,1671.99,4566.85,9429.48,f46049,vvip,online,1,anderson,lose,p1420-f46049,11200.51,141,0,9429.48,adult,low,1,2
p5078,priya,female,37,australia,team d,bowler,tennis,m37799,friendly,06-03-2021,team a,stadium 1,sydney,25,1,2,2,31,5.67,4253.34,189.07,7178.93,9018.94,f63876,regular,upi,5,lee,lose,p5078-f63876,11621.34,41,0,9018.94,senior,medium,2,2
p1258,liu,female,35,south africa,team a,forward,football,m21611,league,07-03-2021,team e,arena 2,delhi,125,4,2,4,58,1.15,1276.5,1314.9,5756.34,634.24,f33992,vip,upi,5,smith,draw,p1258-f33992,8347.74,155,0,634.24,senior,low,2,3
p6822,mike,male,38,germany,team b,forward,tennis,m55791,league,07-03-2021,team e,arena 2,london,130,8,3,0,101,3.85,2873.47,1735.59,5565.64,5665.95,f11980,vvip,upi,5,smith,win,p6822-f11980,10174.7,155,0,5665.95,senior,low,1,1
p1472,carlos,male,24,brazil,team b,defender,basketball,m67680,world cup,08-03-2021,team c,ground 3,london,54,6,4,1,13,5.13,2845.99,936.99,8070.51,4271.14,f23070,regular,credit card,5,brown,lose,p1472-f23070,11853.49,82,0,4271.14,adult,medium,1,2
p3473,priya,female,44,germany,team a,goalkeeper,yricket,m65742,world cup,09-03-2021,team e,arena 2,sydney,101,9,0,0,11,8.2,3622.31,1661.42,1182.06,137.01,f32853,regular,credit card,4,brown,win,p3473-f32853,6465.79,119,0,137.01,senior,high,2,1
p2917,priya,female,32,australia,team a,bowler,cricket,m68488,world cup,10-03-2021,team d,court 4,sydney,53,0,1,4,52,8.98,1814.11,1317.91,3414.56,2777.05,f58524,regular,cash,2,smith,lose,p2917-f58524,6546.58,72,0,2777.05,senior,high,2,2
p4982,priya,male,27,brazil,team c,defender,basketball,m35540,world cup,10-03-2021,team c,stadium 1,berlin,52,6,0,4,106,3.22,2428.62,1083.84,2334.06,5502.38,f91525,regular,cash,2,lee,draw,p4982-f91525,5846.52,80,0,5502.38,adult,low,1,3
p9056,mike,male,39,australia,team c,bowler,basketball,m28275,friendly,10-03-2021,team c,court 4,new york,76,3,2,1,73,6.47,2598.42,865.81,4126.89,8476.7,f10831,nan,online,2,lee,win,p9056-f10831,7591.12,92,0,8476.7,senior,medium,1,1
p2738,david,male,42,brazil,team b,goalkeeper,tennis,m49674,championship,10-03-2021,team a,arena 2,berlin,105,8,1,4,55,1.86,1740.71,1100.18,8429.73,8475.33,f56459,vvip,online,5,lee,draw,p2738-f56459,11270.62,140,0,8475.33,senior,low,1,3
p5821,sara,male,36,south africa,team b,goalkeeper,basketball,m87338,world cup,01-04-2021,team c,stadium 1,sydney,145,6,2,2,27,1.41,2586.44,843.11,4072.56,3343.17,f82175,regular,credit card,2,smith,draw,p5821-f82175,7502.11,171,0,3343.17,senior,low,1,3
p3900,john,male,31,south africa,team b,defender,tennis,m93203,championship,02-04-2021,team d,ground 3,london,28,9,1,1,2,7.87,1063.69,1552.27,7072.82,5491,f17810,vvip,upi,3,rahul,win,p3900-f17810,9688.78,53,0,5491,senior,high,1,1
p3925,sara,male,39,south africa,team a,forward,cricket,m51684,championship,04-04-2021,team b,court 4,sydney,124,7,3,2,51,8.71,2370.93,80.63,7764.15,4341.39,f41769,vip,upi,5,brown,win,p3925-f41769,10215.71,155,0,4341.39,senior,high,1,1
p8527,carlos,female,41,australia,team d,defender,tennis,m41447,league,04-04-2021,team b,stadium 1,new york,38,6,3,2,114,6.59,1374.43,1539.67,9419.78,6530.09,f61369,regular,upi,5,lee,draw,p8527-f61369,12333.88,67,0,6530.09,senior,medium,2,3
p7154,liu,male,22,yermany,team b,batsman,cricket,m48321,world cup,05-04-2021,team e,arena 2,delhi,134,9,2,3,57,6.78,2982.72,1041.77,6358.22,454.07,f98934,vip,cash,3,smith,draw,p7154-f98934,10382.71,170,0,454.07,adult,medium,1,3
p3178,mike,female,30,india,team b,bowler,football,m45730,league,05-04-2021,team d,arena 2,berlin,9,5,2,4,105,7.14,3926.55,1375.34,1619.75,9979.4,f73164,vip,upi,5,anderson,draw,p3178-f73164,6921.64,41,0,9979.4,adult,high,2,3
p1796,amit,female,42,germany,team a,goalkeeper,football,m69347,world cup,05-04-2021,team e,stadium 1,delhi,141,4,3,0,62,5.97,1267.51,1018.48,6598.21,4084.25,f83850,regular,cash,2,patel,lose,p1796-f83850,8884.2,158,0,4084.25,senior,medium,2,2
p5298,maria,male,37,germany,team d,defender,basketball,m28788,championship,06-04-2021,team e,arena 2,berlin,11,3,1,1,61,1.74,2549.48,93.15,9615.4,9848.72,f75004,vvip,cash,2,lee,win,p5298-f75004,12258.03,24,0,9848.72,senior,low,1,1
p6171,amit,female,25,uk,team e,defender,basketball,m36841,league,06-04-2021,team e,court 4,delhi,92,1,1,3,6,7.07,3964.81,884.13,8761.26,8687.37,f87711,regular,upi,1,patel,draw,p6171-f87711,13610.2,109,0,8687.37,adult,high,2,3
p3095,david,male,22,australia,team d,goalkeeper,football,m52853,league,07-04-2021,team e,arena 2,london,133,2,2,2,84,8.88,753.92,1665.22,1562.34,9057.64,f85458,vip,credit card,1,brown,draw,p3095-f85458,3981.48,151,0,9057.64,adult,high,1,3
p6655,maria,male,44,australia,team c,defender,tennis,m20884,friendly,07-04-2021,team d,arena 2,london,112,3,2,1,3,2.59,1898.2,74.76,2516.12,4289.96,f50837,vip,cash,3,anderson,draw,p6655-f50837,4489.08,128,0,4289.96,senior,low,1,3
p5398,david,female,19,south africa,team c,bowler,football,m40007,league,07-04-2021,team e,arena 2,london,1,2,0,4,50,1.14,1729.42,747.55,8551.57,2532.08,f25033,regular,online,3,anderson,lose,p5398-f25033,11028.54,21,0,2532.08,junior,low,2,2
p6491,maria,male,18,usa,team d,forward,basketball,m30585,league,09-04-2021,team d,ground 3,delhi,1,3,0,0,71,8.74,703.13,215.8,4914.19,901.39,f56334,vvip,upi,5,anderson,draw,p6491-f56334,5833.12,7,0,901.39,junior,high,1,3
p4898,david,male,33,australia,team c,forward,tennis,m14049,friendly,09-04-2021,team b,ground 3,sydney,31,6,4,0,57,8.74,1863.91,403.23,8760.9,5487.13,f74273,vvip,online,4,patel,win,p4898-f74273,11028.04,55,0,5487.13,senior,high,1,1
p6277,sara,female,30,usa,team c,bowler,tennis,m37088,friendly,10-04-2021,team c,ground 3,new york,117,9,4,1,111,2.17,4511.84,800.87,7793.23,3511.77,f38113,vvip,upi,5,rahul,win,p6277-f38113,13105.94,151,0,3511.77,adult,low,2,1
p2120,liu,female,40,australia,team a,forward,football,m63430,league,11-04-2021,team b,arena 2,delhi,142,9,0,2,77,5.98,512.45,889.3,7805.77,7782.34,f17933,regular,online,3,rahul,lose,p2120-f17933,9207.52,168,0,7782.34,senior,medium,2,2
p1721,priya,male,39,usa,team b,defender,football,m76839,championship,11-04-2021,team d,ground 3,delhi,29,6,0,2,45,5.19,2146.69,1456.44,9948.24,1759.76,f91703,regular,online,4,brown,lose,p1721-f91703,13551.37,49,0,1759.76,senior,medium,1,2
p6908,sara,female,17,india,team e,defender,cricket,m52882,league,12-04-2021,team c,court 4,delhi,55,3,3,2,40,4.3,2610.13,1571.4,4363.86,7729.3,f81721,vip,cash,2,smith,draw,p6908-f81721,8545.39,78,0,7729.3,junior,medium,2,3
p4644,carlos,female,33,germany,team e,goalkeeper,football,m61509,league,01-05-2021,team e,stadium 1,sydney,116,8,0,1,88,9.31,3240.01,1669.25,9440.08,3829.29,f37313,vip,online,2,patel,lose,p4644-f37313,14349.34,136,0,3829.29,senior,high,2,2
p1567,sara,female,15,india,team b,defender,tennis,m85571,world cup,03-05-2021,team b,unspecified,delhi,92,3,2,0,56,9.38,3543.66,1961.95,1848.22,7673.85,f81465,vvip,cash,4,rahul,win,p1567-f81465,7353.83,104,0,7673.85,junior,high,2,1
p4684,sara,female,17,uk,team c,batsman,cricket,m21784,championship,03-05-2021,team a,arena 2,berlin,2,4,3,0,78,1.91,2424.71,1013.6,3540.46,3750.72,f65112,regular,cash,4,smith,lose,p4684-f65112,6978.77,19,0,3750.72,junior,low,2,2
p8619,david,male,37,brazil,team e,batsman,cricket,m42196,world cup,04-05-2021,team a,arena 2,london,30,2,0,1,29,7.75,1723.79,728.21,3689.8,7825.73,f95780,vip,online,3,patel,win,p8619-f95780,6141.8,38,0,7825.73,senior,high,1,1
p3578,amit,male,41,usa,team b,forward,tennis,m56187,league,07-05-2021,team b,court 4,london,46,8,3,2,107,6.68,3793.74,1369.07,8211.28,7122.42,f26304,vvip,credit card,3,anderson,lose,p3578-f26304,13374.09,79,0,7122.42,senior,medium,1,2
p5448,carlos,female,30,brazil,team b,forward,cricket,m31472,league,08-05-2021,team d,stadium 1,delhi,40,8,4,1,85,2.17,1173.7,1885.93,4850.95,2990.29,f19010,regular,upi,1,brown,lose,p5448-f19010,7910.58,72,0,2990.29,adult,low,2,2
p6848,liu,male,21,uk,team e,bowler,basketball,m58088,world cup,09-05-2021,team a,ground 3,london,23,7,3,0,115,1.65,1061.43,881.13,7287.81,2574.14,f17717,vvip,cash,1,brown,lose,p6848-f17717,9230.37,46,0,2574.14,adult,low,1,2
p7460,priya,female,25,india,team a,forward,basketball,m48342,championship,11-05-2021,team e,court 4,berlin,80,0,0,1,85,3.64,1021.73,1803.02,7624.6,2361.91,f42055,vip,cash,4,smith,lose,p7460-f42055,10449.35,84,0,2361.91,adult,low,2,2
p8061,amit,male,16,brazil,team a,bowler,cricket,m50590,championship,11-05-2021,team c,court 4,london,79,7,2,2,33,8.77,3744.29,716.84,8019.69,5467.72,f91766,regular,credit card,4,brown,lose,p8061-f91766,12480.82,107,0,5467.72,junior,high,1,2
p6582,amit,female,27,brazil,team a,forward,basketball,m11891,league,02-06-2021,team d,court 4,sydney,120,6,0,0,28,4.73,2554.28,1808.61,5136.82,2898.71,f95293,vvip,online,4,brown,win,p6582-f95293,9499.71,132,0,2898.71,adult,medium,2,1
p3539,liu,female,33,germany,team d,batsman,tennis,m61877,league,03-06-2021,team c,stadium 1,new york,19,0,3,1,116,1.79,4995.39,593.77,1336.56,3712.06,f68725,regular,upi,3,anderson,draw,p3539-f68725,6925.72,32,0,3712.06,senior,low,2,3
p3112,john,female,20,australia,team e,forward,cricket,m84311,league,04-06-2021,team e,arena 2,sydney,76,9,4,2,33,8.66,3803.69,1653.47,7147.44,6519.15,f89187,vip,upi,1,rahul,draw,p3112-f89187,12604.6,114,0,6519.15,adult,high,2,3
p2864,john,female,44,australia,team a,bowler,basketball,m75581,world cup,06-06-2021,team d,stadium 1,london,124,1,4,0,85,9.31,1503.32,168.69,8136.02,4605.93,f74962,vip,credit card,4,brown,lose,p2864-f74962,9808.03,138,0,4605.93,senior,high,2,2
p5828,carlos,male,37,uk,team c,goalkeeper,basketball,m57391,league,07-06-2021,team e,stadium 1,london,111,8,2,4,89,6.83,3824.15,862.7,4118.04,5095.76,f90291,regular,upi,5,patel,win,p5828-f90291,8804.89,149,0,5095.76,senior,medium,1,1
p3166,mike,male,20,australia,team d,defender,basketball,m37893,world cup,08-06-2021,team d,stadium 1,sydney,106,7,0,0,57,3.2,4046.79,1760.44,2135.02,6147.93,f80020,vip,credit card,3,brown,draw,p3166-f80020,7942.25,120,0,6147.93,adult,low,1,3
p4148,carlos,male,20,south africa,team c,batsman,cricket,m77347,championship,09-06-2021,team a,arena 2,london,41,0,4,1,56,7.81,600.98,344.84,1312.49,9677.34,f13883,regular,credit card,4,smith,win,p4148-f13883,2258.31,57,0,9677.34,adult,high,1,1
p2786,maria,male,40,usa,team e,forward,tennis,m87312,friendly,12-06-2021,team a,stadium 1,sydney,21,3,2,2,92,5.43,2541.94,578.19,6038.54,8186.88,f91352,vvip,upi,4,anderson,win,p2786-f91352,9158.67,41,0,8186.88,senior,medium,1,1
p1108,john,male,41,india,team a,forward,cricket,m28140,world cup,12-06-2021,team b,arena 2,sydney,55,1,2,1,102,8.86,3409.45,521.39,5124.11,2353.12,f76995,vvip,upi,5,rahul,draw,p1108-f76995,9054.95,67,0,2353.12,senior,high,1,3
p9991,priya,male,25,germany,team a,defender,cricket,m29767,championship,12-06-2021,team c,stadium 1,london,124,8,3,4,72,2.35,3192.72,235.73,4684.87,8214,f76783,regular,upi,2,lee,win,p9991-f76783,8113.32,165,0,8214,adult,low,1,1
p1752,maria,female,27,brazil,team e,bowler,cricket,m24934,league,01-07-2021,team a,stadium 1,new york,99,5,4,2,76,7.91,3343.24,228.03,2274.87,2057.55,f10939,vvip,upi,5,rahul,draw,p1752-f10939,5846.14,129,0,2057.55,adult,high,2,3
p2257,priya,male,22,usa,team a,forward,football,m17346,league,01-07-2021,team c,arena 2,new york,112,8,3,3,54,9.54,3122.59,649.6,6178.44,4332.51,f24953,vvip,cash,5,patel,draw,p2257-f24953,9950.63,149,0,4332.51,adult,high,1,3
p3274,john,female,23,india,team a,bowler,tennis,m92310,friendly,03-07-2021,team b,stadium 1,berlin,125,5,4,4,87,5.14,4981.6,659.16,8905.73,1698.53,f10672,regular,credit card,2,lee,lose,p3274-f10672,14546.49,163,0,1698.53,adult,medium,2,2
p3147,priya,male,24,uk,team b,defender,football,m73681,championship,04-07-2021,team d,arena 2,sydney,9,6,3,1,107,8.99,2452.47,1740.23,8636.97,7502.37,f97584,vvip,upi,5,anderson,win,p3147-f97584,12829.67,34,0,7502.37,adult,high,1,1
p6129,priya,male,40,usa,team a,goalkeeper,tennis,m92941,world cup,05-07-2021,team d,stadium 1,delhi,120,9,3,3,46,6.08,3550.61,961.93,8417.61,1596.51,f42078,vip,credit card,1,brown,win,p6129-f42078,12930.15,159,0,1596.51,senior,medium,1,1
p9133,maria,male,41,germany,team a,goalkeeper,football,m62222,friendly,06-07-2021,team e,unspecified,berlin,140,5,0,2,77,7.04,3411.77,993.33,4173.29,3805.13,f42194,vvip,online,3,brown,win,p9133-f42194,8578.39,158,0,3805.13,senior,high,1,1
p2891,maria,male,36,uk,team e,forward,basketball,m11338,friendly,06-07-2021,team a,stadium 1,delhi,1,0,2,4,30,9.87,4923.56,1620.05,5780.94,5336.72,f40006,vvip,cash,1,rahul,lose,p2891-f40006,12324.55,23,0,5336.72,senior,high,1,2
p9984,maria,male,15,south africa,team b,bowler,football,m25805,league,07-07-2021,team d,arena 2,delhi,84,6,0,1,22,3.87,1321.81,393.54,2425.54,3511.8,f17150,vip,upi,1,rahul,win,p9984-f17150,4140.89,100,0,3511.8,junior,low,1,1
p7401,priya,female,21,uk,team e,batsman,basketball,m68608,friendly,07-07-2021,team a,ground 3,new york,118,0,1,3,54,9.44,2363.48,1026.37,7314.32,9366.02,f22564,vip,upi,2,patel,win,p7401-f22564,10704.17,133,0,9366.02,adult,high,2,1
p6635,david,male,39,india,team a,batsman,football,m81270,world cup,08-07-2021,team d,arena 2,berlin,68,6,2,4,114,7.74,688.95,783.39,5009.69,741.34,f23745,nan,online,2,patel,win,p6635-f23745,6482.03,102,0,741.34,senior,high,1,1
p2225,carlos,male,38,south africa,team c,defender,tennis,m61185,world cup,09-07-2021,team e,ground 3,sydney,24,1,1,3,106,1.37,634.04,1162.44,5361.11,9716.89,f85209,regular,cash,5,lee,win,p2225-f85209,7157.59,41,0,9716.89,senior,low,1,1
p8172,amit,female,30,brazil,team d,defender,cricket,m90580,league,09-07-2021,team d,arena 2,new york,26,4,0,0,16,7.38,3349.92,1024.28,3496.06,3877.94,f65703,vvip,credit card,5,rahul,lose,p8172-f65703,7870.26,34,0,3877.94,adult,high,2,2
p2284,liu,female,28,south africa,team a,defender,tennis,m58795,league,10-07-2021,team a,ground 3,sydney,93,4,1,0,24,3.02,1873.41,1085.03,5411.54,1492.08,f60138,vip,credit card,5,lee,lose,p2284-f60138,8369.98,104,0,1492.08,adult,low,2,2
p3647,carlos,female,21,germany,team d,goalkeeper,cricket,m80355,world cup,10-07-2021,team c,court 4,sydney,12,2,3,0,68,3.95,2326.74,1236.8,2282.99,6535.63,f52544,nan,upi,3,brown,lose,p3647-f52544,5846.53,25,0,6535.63,adult,low,2,2
p6559,john,female,18,south africa,team d,batsman,basketball,m76599,friendly,12-07-2021,team d,ground 3,london,74,4,0,4,50,5.3,3136.7,18.71,9721.13,8112.43,f50802,nan,cash,3,rahul,draw,p6559-f50802,12876.54,98,0,8112.43,junior,medium,2,3
p4273,priya,female,33,brazil,team d,bowler,cricket,m53504,league,12-07-2021,team a,ground 3,sydney,20,6,3,4,9,6.4,3195.46,1227.28,1879.84,6266.33,f94115,vvip,credit card,1,rahul,draw,p4273-f94115,6302.58,57,0,6266.33,senior,medium,2,3
p3587,liu,female,27,uk,team d,bowler,football,m17837,championship,12-07-2021,team d,unspecified,berlin,115,5,0,0,24,3.97,1400.56,1336.45,4335.81,8419.75,f33925,vvip,online,1,smith,win,p3587-f33925,7072.82,125,0,8419.75,adult,low,2,1
p5520,priya,male,35,usa,team a,goalkeeper,cricket,m48740,league,01-08-2021,team d,court 4,berlin,67,8,0,3,76,8.22,4657.17,301.08,1001.36,3529.01,f88776,vip,cash,2,smith,win,p5520-f88776,5959.61,95,0,3529.01,senior,high,1,1
p5192,amit,female,31,india,team c,bowler,basketball,m95207,world cup,04-08-2021,team b,ground 3,new york,96,3,1,4,27,9.78,4846.98,915.34,2505.74,8216.35,f46961,vvip,upi,3,anderson,win,p5192-f46961,8268.06,121,0,8216.35,senior,high,2,1
p4783,liu,female,30,brazil,team a,goalkeeper,basketball,m83279,championship,05-08-2021,team a,court 4,new york,133,2,2,0,86,5.2,4435.59,1914.79,4921.12,4837,f91297,regular,online,5,patel,draw,p4783-f91297,11271.5,143,0,4837,adult,medium,2,3
p8728,carlos,female,17,india,team e,batsman,basketball,m57354,friendly,06-08-2021,team d,arena 2,sydney,130,3,0,1,23,3.16,1943.85,189.1,6483.22,2940.73,f79959,nan,credit card,2,brown,lose,p8728-f79959,8616.17,140,0,2940.73,junior,low,2,2
